               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12293,            0.015034,            0.093918,             0.76238,            0.045525,           0.0086284,            0.003525,            0.098697,            0.010105,            0.081669,            0.070079,           0.0033245,           0.0033245
                   1,             0.10529,             0.01109,            0.079193,              0.9583,            0.020617,            0.021319,           0.0076443,            0.093034,            0.009011,            0.074994,            0.040066,           0.0066447,           0.0066447
                   2,             0.10368,            0.010028,            0.068175,              0.9742,            0.031645,            0.042805,            0.016582,            0.093415,           0.0085436,            0.061282,             0.01004,           0.0099516,           0.0099516
                   3,            0.097102,            0.010228,            0.058883,             0.90268,            0.073029,            0.080464,            0.030919,            0.086244,           0.0085578,            0.053045,           0.0099406,           0.0099406,           0.0099406
                   4,            0.092016,            0.010227,               0.052,             0.81451,             0.11061,            0.097576,             0.04448,            0.079941,           0.0088158,            0.049217,           0.0099406,           0.0099406,           0.0099406
                   5,             0.08903,            0.010421,             0.04786,             0.84205,             0.11197,             0.10629,            0.052417,            0.077217,           0.0083922,            0.045277,           0.0099208,           0.0099208,           0.0099208
                   6,            0.086137,            0.010051,            0.045311,             0.84475,             0.12969,             0.11981,            0.057752,            0.075854,            0.008501,            0.042978,            0.009901,            0.009901,            0.009901
                   7,            0.084605,            0.010195,             0.04376,             0.85311,              0.1376,             0.13239,            0.066993,            0.072861,           0.0084829,            0.040575,           0.0098812,           0.0098812,           0.0098812
                   8,             0.08096,            0.010103,            0.042355,              0.8667,              0.1291,             0.13482,            0.064994,            0.074074,           0.0086347,            0.039232,           0.0098614,           0.0098614,           0.0098614
                   9,             0.08154,            0.010323,            0.040164,             0.88088,              0.1384,              0.1509,            0.072963,            0.072498,           0.0084687,            0.037606,           0.0098416,           0.0098416,           0.0098416
                  10,            0.079271,            0.010097,            0.039988,             0.86103,              0.1378,              0.1565,             0.08067,            0.070988,           0.0084729,            0.036863,           0.0098218,           0.0098218,           0.0098218
                  11,            0.081199,            0.009767,            0.038543,             0.87486,             0.15479,             0.16862,            0.082973,            0.070353,           0.0082281,            0.035439,            0.009802,            0.009802,            0.009802
                  12,            0.079748,            0.009948,            0.037145,              0.8697,             0.15026,             0.17292,            0.084593,            0.071253,           0.0083427,             0.03424,           0.0097822,           0.0097822,           0.0097822
                  13,             0.07669,           0.0099975,            0.037453,             0.88421,             0.15959,             0.17821,            0.091719,             0.06917,             0.00833,            0.034165,           0.0097624,           0.0097624,           0.0097624
                  14,            0.076863,           0.0098711,            0.034872,             0.88334,             0.15751,             0.18046,            0.091774,             0.06832,           0.0081431,            0.033808,           0.0097426,           0.0097426,           0.0097426
                  15,            0.078255,           0.0097895,            0.036215,             0.85888,             0.17046,             0.18923,            0.097708,            0.069122,           0.0080723,            0.032804,           0.0097228,           0.0097228,           0.0097228
                  16,            0.077151,           0.0097936,            0.034372,             0.87986,             0.17168,             0.19799,             0.10289,            0.068201,           0.0080683,            0.031859,            0.009703,            0.009703,            0.009703
                  17,             0.07516,           0.0098261,            0.033866,             0.89631,             0.16373,             0.20183,             0.10396,            0.068092,           0.0081359,            0.031868,           0.0096832,           0.0096832,           0.0096832
                  18,            0.076232,           0.0099154,            0.033791,             0.90548,             0.17023,             0.20756,             0.11175,            0.066007,           0.0080027,            0.030634,           0.0096634,           0.0096634,           0.0096634
                  19,             0.07531,           0.0095825,            0.031751,              0.9142,             0.17008,             0.21847,             0.11865,            0.066296,           0.0079566,            0.029623,           0.0096436,           0.0096436,           0.0096436
                  20,            0.075555,           0.0098453,            0.031495,             0.90436,             0.17776,             0.22064,             0.11956,            0.066015,            0.007957,            0.029417,           0.0096238,           0.0096238,           0.0096238
                  21,            0.075098,           0.0097443,            0.031856,             0.86689,              0.1918,             0.22221,             0.11879,             0.06541,           0.0080517,             0.03023,            0.009604,            0.009604,            0.009604
                  22,            0.073695,           0.0097466,            0.032236,             0.89533,             0.19849,             0.23408,             0.12338,            0.066014,           0.0079479,            0.027946,           0.0095842,           0.0095842,           0.0095842
